#sample_id,sample_name,bam_dir,bam_file
193,PanisdAlnRep1,,wgEncodeOpenChromDnasePanisdAlnRep1.bam
194,PanisdAlnRep2,,wgEncodeOpenChromDnasePanisdAlnRep2.bam
195,PanisdAlnRep3,,wgEncodeOpenChromDnasePanisdAlnRep3.bam
196,PanisletsAlnRep1,,wgEncodeOpenChromDnasePanisletsAlnRep1.bam
197,PanisletsAlnRep2,,wgEncodeOpenChromDnasePanisletsAlnRep2.bam
198,PanisletsAlnRep3,,wgEncodeOpenChromDnasePanisletsAlnRep3.bam
199,PhteAlnRep1,,wgEncodeOpenChromDnasePhteAlnRep1.bam
200,PhteAlnRep2,,wgEncodeOpenChromDnasePhteAlnRep2.bam
201,ProgfibAlnRep1,,wgEncodeOpenChromDnaseProgfibAlnRep1.bam
202,ProgfibAlnRep2,,wgEncodeOpenChromDnaseProgfibAlnRep2.bam
203,PsoasmuscleocAlnRep1,,wgEncodeOpenChromDnasePsoasmuscleocAlnRep1.bam
204,PsoasmuscleocAlnRep2,,wgEncodeOpenChromDnasePsoasmuscleocAlnRep2.bam
205,Rwpe1AlnRep1,,wgEncodeOpenChromDnaseRwpe1AlnRep1.bam
206,Rwpe1AlnRep2,,wgEncodeOpenChromDnaseRwpe1AlnRep2.bam
207,SknshAlnRep1,,wgEncodeOpenChromDnaseSknshAlnRep1.bam
208,SknshAlnRep2,,wgEncodeOpenChromDnaseSknshAlnRep2.bam
209,StellateAlnRep1,,wgEncodeOpenChromDnaseStellateAlnRep1.bam
210,StellateAlnRep2,,wgEncodeOpenChromDnaseStellateAlnRep2.bam
211,T47dAlnRep1,,wgEncodeOpenChromDnaseT47dAlnRep1.bam
212,T47dAlnRep2,,wgEncodeOpenChromDnaseT47dAlnRep2.bam
213,T47dEst10nm30mAlnRep1,,wgEncodeOpenChromDnaseT47dEst10nm30mAlnRep1.bam
214,T47dEst10nm30mAlnRep2,,wgEncodeOpenChromDnaseT47dEst10nm30mAlnRep2.bam
215,UrothelAlnRep1V2,,wgEncodeOpenChromDnaseUrothelAlnRep1V2.bam
216,UrothelAlnRep2V2,,wgEncodeOpenChromDnaseUrothelAlnRep2V2.bam
217,UrothelUt189AlnRep1V2,,wgEncodeOpenChromDnaseUrothelUt189AlnRep1V2.bam
218,UrothelUt189AlnRep2V2,,wgEncodeOpenChromDnaseUrothelUt189AlnRep2V2.bam
219,A549AlnRep1,/dcs01/gcode/fdu1/iBS/Data/ENCODE/DNAse/UWHG19/,wgEncodeUwDnaseA549AlnRep1.bam
220,A549AlnRep2,,wgEncodeUwDnaseA549AlnRep2.bam
221,Ag04449AlnRep1,,wgEncodeUwDnaseAg04449AlnRep1.bam
222,Ag04449AlnRep2,,wgEncodeUwDnaseAg04449AlnRep2.bam
223,Ag04450AlnRep1,,wgEncodeUwDnaseAg04450AlnRep1.bam
224,Ag04450AlnRep2,,wgEncodeUwDnaseAg04450AlnRep2.bam
225,Ag09309AlnRep1,,wgEncodeUwDnaseAg09309AlnRep1.bam
226,Ag09309AlnRep2,,wgEncodeUwDnaseAg09309AlnRep2.bam
227,Ag09319AlnRep1,,wgEncodeUwDnaseAg09319AlnRep1.bam
228,Ag09319AlnRep2,,wgEncodeUwDnaseAg09319AlnRep2.bam
229,Ag10803AlnRep1,,wgEncodeUwDnaseAg10803AlnRep1.bam
230,Ag10803AlnRep2,,wgEncodeUwDnaseAg10803AlnRep2.bam
